#{"t_start": 1714994727.5328975, "env_id": "None"}
r,l,t
9.315428,124,0.32907
15.583298,143,0.437196
19.396397,150,0.556655
10.099114,125,0.648889
15.94468,147,0.751878
16.813286,146,0.85606
22.894995,160,0.97067
10.904975,131,1.068259
16.139831,139,1.171153
14.520619,139,1.27477
8.221547,120,1.367906
11.923958,130,1.464278
11.620378,135,1.563825
20.75983,158,1.680063
20.470284,161,2.69097
24.149748,160,2.801966
25.48381,150,2.906374
26.14165,167,3.024449
28.532404,165,3.139875
14.162254,143,3.238566
19.127173,144,3.337928
15.856053,139,3.43529
22.087172,156,3.540537
25.140776,150,3.641968
21.891612,157,3.759411
11.232647,134,3.853305
18.905303,156,3.965739
12.137479,136,4.061348
25.369362,170,5.138447
28.040331,168,5.270689
4.148048,106,5.350778
15.212406,134,5.448601
25.777778,167,5.571376
13.040437,133,5.667269
9.052696,123,5.754059
17.714435,145,5.86783
15.483799,145,5.974536
20.668831,144,6.089004
22.559344,154,6.198199
9.759619,123,6.283719
8.252501,122,6.367989
11.067276,129,6.457119
13.680626,138,7.558837
17.21428,152,7.670404
8.378267,118,7.75754
25.14218,160,7.86778
23.467827,140,7.963743
25.317492,157,8.072348
11.579434,136,8.16641
18.59196,150,8.274687
17.797313,148,8.377248
31.180827,164,8.490981
23.976354,162,8.604066
12.663739,139,8.704441
11.296865,128,8.794256
31.984282,179,8.935458
16.631326,152,9.903293
18.524308,159,10.016265
9.603792,125,10.107003
19.077917,141,10.205034
3.11023,104,10.275892
14.136409,134,10.365834
14.417663,134,10.458059
10.533768,134,10.549604
13.705678,139,10.642778
16.272106,149,10.743977
16.113932,140,10.840287
16.312276,149,10.940599
19.403164,152,11.046611
25.83938,160,11.160609
14.355255,146,11.261236
29.424496,171,12.256582
20.062231,148,12.360087
12.582342,133,12.453295
9.882334,127,12.541539
22.31078,157,12.650317
10.484807,133,12.750543
6.214543,112,12.864552
11.074585,128,12.954203
15.5121,146,13.057843
10.129502,125,13.142032
15.516143,145,13.244908
9.117333,124,13.33208
22.635076,161,13.44563
25.088932,159,13.555247
15.624606,140,14.631093
12.493158,139,14.728482
19.647443,150,14.830992
17.595135,148,14.937564
21.004206,149,15.043076
21.310087,168,15.160829
20.265248,164,15.27714
15.519457,147,15.383613
6.111004,114,15.464127
16.323003,150,15.568721
10.93017,132,15.65924
10.094067,129,15.749557
15.925029,144,15.847519
23.003655,158,15.95827
11.534199,136,16.976163
14.210663,141,17.073914
19.443932,153,17.181129
17.361595,147,17.281501
29.92732,169,17.396809
4.874215,111,17.474808
25.158571,168,17.601118
20.508408,151,17.704767
16.295368,148,17.807409
22.332949,152,17.91435
15.075938,137,18.013875
20.425153,153,18.120516
16.388351,149,18.223896
18.687788,159,18.33481
15.072614,148,19.362933
26.819849,148,19.466561
4.209616,105,19.537829
23.331286,167,19.65352
17.724787,152,19.761903
26.733466,154,19.872403
20.744245,151,19.979535
20.218978,152,20.086212
26.836426,154,20.195369
18.338181,154,20.301855
10.263165,128,20.388669
18.479741,145,20.489499
25.151834,165,20.603973
17.892883,145,20.704462
15.357901,140,21.796193
10.148999,131,21.888998
6.244333,115,21.967397
12.859883,131,22.081147
13.654887,138,22.199403
14.675798,137,22.349845
14.718079,137,22.472479
15.320687,138,22.588905
16.543181,142,22.706925
21.642402,153,22.833335
14.344888,135,22.946397
3.067117,102,23.034093
8.069656,119,23.135385
15.113668,149,23.258102
11.787427,129,23.35593
7.424567,117,23.439501
12.942577,136,24.506508
22.825297,158,24.614624
12.239361,129,24.701905
5.944132,112,24.779038
18.768565,143,24.877021
13.468421,144,24.984261
21.125789,154,25.094479
17.932202,153,25.200586
22.429777,163,25.310718
3.887218,107,25.385303
21.040363,147,25.486293
22.522506,159,25.595133
7.444041,121,25.679778
14.200879,138,25.776395
13.940847,145,26.749208
17.864876,149,26.854356
16.764422,146,26.961868
19.65848,154,27.069998
20.066953,164,27.184257
4.072893,106,27.256624
18.584243,143,27.355575
17.032845,147,27.456352
2.798974,101,27.525379
18.748399,153,27.637491
20.507113,148,27.737333
18.919245,149,27.838974
20.546829,143,27.940225
12.647545,130,28.031211
17.013405,130,28.121272
8.630997,127,29.095739
24.064833,175,29.221122
23.494157,159,29.33171
25.185473,160,29.443582
12.526831,135,29.537756
19.320715,155,29.646228
12.833627,141,29.743929
2.474691,100,29.810836
11.11351,133,29.904175
16.581733,152,30.012964
14.901958,136,30.107701
1.073039,94,30.17333
13.558314,140,30.272651
14.774463,142,30.370074
17.326478,144,31.432918
4.790954,108,31.508835
2.781284,101,31.580963
13.762809,141,31.679502
16.983417,142,31.777603
14.792359,139,31.874004
20.769508,154,31.977191
16.786008,151,32.078766
12.698509,135,32.170827
15.115427,144,32.270714
18.687423,152,32.375336
19.393367,146,32.47996
8.410903,119,32.562539
14.396538,136,32.657177
13.751611,139,32.751826
16.368476,141,33.753803
8.780435,123,33.840652
6.238971,116,33.921589
13.602587,140,34.019753
19.389983,148,34.122397
13.360758,128,34.209821
5.503699,109,34.286874
15.328207,144,34.387681
34.878417,181,34.513615
4.841923,108,34.590802
19.676733,150,34.694741
7.883936,118,34.776792
24.662591,159,34.887886
10.75321,126,34.975956
14.539585,142,35.074602
22.075918,151,36.101811
8.776188,124,36.192602
14.933702,140,36.290396
11.124733,134,36.384154
20.06012,157,36.494565
