#{"t_start": 1714974155.1547568, "env_id": "None"}
r,l,t
21.525637,155,0.242577
25.126408,174,0.363293
21.397646,156,0.471726
2.236,100,0.539487
27.828985,164,0.660233
18.748829,144,0.765229
7.208213,117,0.844073
24.600866,172,0.956441
9.396021,125,1.040721
15.524621,146,1.136389
8.127931,121,1.221253
7.648228,120,1.306726
33.23442,156,1.411252
11.111152,132,1.497686
13.021228,135,2.456867
9.62131,128,2.543735
12.104927,135,2.633014
23.140948,149,2.740533
8.283275,118,2.820121
6.657467,114,2.898274
15.994714,144,2.997372
12.201625,135,3.097576
20.509308,132,3.189291
29.010455,162,3.296193
18.17651,152,3.399392
15.261169,145,3.495967
21.281011,162,3.60385
15.521767,144,3.708464
12.746497,138,3.803309
24.238846,152,4.801674
11.491679,125,4.89138
27.289275,156,5.007253
19.932523,151,5.107705
12.705603,135,5.201542
14.730251,135,5.290885
17.934836,150,5.390582
14.519415,140,5.488905
22.638301,158,5.608469
12.515661,135,5.704346
11.493541,133,5.794359
12.508378,136,5.88727
12.40668,141,5.989098
19.551199,155,6.104561
13.305706,138,7.065214
29.694649,152,7.175347
26.033525,158,7.286648
12.525322,130,7.375301
10.115486,128,7.461916
12.715022,140,7.554003
22.339503,143,7.683156
7.593935,120,7.767083
6.106166,113,7.841907
9.581114,129,7.932446
21.141122,156,8.046545
18.07558,144,8.143729
3.546551,105,8.220818
16.447365,146,8.318013
6.92168,114,8.394312
