#{"t_start": 1714974155.2748787, "env_id": "None"}
r,l,t
18.923137,153,0.121081
14.831541,135,0.215089
13.985328,140,0.310551
39.550884,189,0.445478
13.484609,135,0.543044
12.943666,134,0.637712
25.440146,170,0.754095
18.542152,150,0.852591
15.511819,141,0.947337
19.474466,150,1.048789
26.13929,169,1.166737
22.702925,149,1.268076
21.013179,152,1.368029
17.019155,140,2.330069
16.411209,144,2.427583
11.412637,128,2.512302
12.765312,137,2.611508
18.447712,152,2.714229
23.901655,148,2.81582
14.873852,145,2.920678
13.97198,141,3.018905
13.558423,135,3.112718
7.192496,119,3.190366
18.25693,141,3.2869
14.417548,140,3.380013
7.677003,118,3.459244
20.576072,148,3.563704
10.873426,133,3.656568
1.980573,99,4.618992
26.400202,167,4.732373
11.763226,134,4.83169
10.90481,124,4.921874
12.976696,140,5.01433
10.68642,134,5.108111
20.257029,148,5.205818
24.21538,159,5.31225
17.252952,145,5.415161
11.220191,132,5.51647
23.842646,160,5.629194
9.088946,120,5.71084
14.509893,137,5.804054
11.723914,135,5.90481
26.807566,167,6.025826
12.574077,135,6.986183
14.481123,142,7.088085
19.733695,148,7.192539
16.732734,150,7.293818
12.86078,125,7.377463
27.354473,159,7.483076
23.651372,159,7.625589
21.812446,156,7.729702
15.082227,140,7.827854
20.540963,159,7.943296
16.649819,154,8.053558
19.851955,146,8.152838
18.360019,146,8.249748
