#{"t_start": 1714974155.1493843, "env_id": "None"}
r,l,t
17.932488,148,0.242944
14.017297,141,0.341366
12.807016,134,0.432337
14.049878,134,0.526042
23.376949,153,0.636425
17.91699,146,0.742229
17.895603,145,0.843354
26.737616,163,0.949985
22.082662,162,1.058913
15.595894,140,1.150217
11.652101,131,1.241906
15.517812,145,1.345093
21.850993,158,1.449062
11.569959,135,1.538005
8.36905,120,2.49027
12.277491,137,2.579957
14.398279,141,2.677904
0.215941,91,2.742517
21.166062,171,2.858057
20.168916,151,2.96186
11.416923,133,3.058837
11.158086,140,3.155549
17.089761,138,3.251443
12.766182,134,3.339241
15.571759,149,3.440922
5.940162,112,3.515674
24.934427,168,3.62747
11.946966,126,3.720194
11.105335,137,3.814292
12.269163,138,4.802993
7.030412,119,4.888113
24.148969,157,5.005198
16.451521,147,5.103103
18.303189,137,5.198076
32.948132,178,5.316095
11.535707,133,5.404745
26.24092,153,5.512182
21.960588,150,5.626192
25.387418,153,5.734031
17.605124,145,5.832912
16.443288,145,5.931557
13.926119,140,6.038818
16.493898,154,6.147861
11.348061,133,7.106759
11.286119,132,7.201757
33.440507,186,7.332139
10.744192,131,7.420694
14.521503,145,7.517247
20.075493,156,7.646394
23.810115,159,7.763816
20.104966,153,7.868696
15.952306,146,7.967609
18.706769,156,8.081572
23.040352,165,8.2001
21.243031,161,8.307692
7.247312,117,8.385707
