#{"t_start": 1714974155.2692924, "env_id": "None"}
r,l,t
28.198652,185,0.150435
7.334618,119,0.23183
16.882048,150,0.33511
12.576287,134,0.427079
12.953922,139,0.52758
29.039725,163,0.648651
4.587793,108,0.721442
17.522474,150,0.819589
9.376731,125,0.9039
10.616064,130,0.989243
23.092784,136,1.083584
4.186023,108,1.158182
12.248718,140,1.254852
7.408063,118,1.332603
18.109235,157,2.305704
8.006401,117,2.386542
14.484175,143,2.480328
15.092683,135,2.576299
15.04967,134,2.667984
24.622208,144,2.766014
18.006073,155,2.871668
22.357603,158,2.988501
15.937343,141,3.086098
12.173124,131,3.172653
24.57345,175,3.291027
2.685873,101,3.358354
13.256115,142,3.453683
21.61831,161,3.566245
16.194347,141,3.664924
17.383212,139,4.654325
12.758181,136,4.749673
18.293418,149,4.862107
28.283343,157,4.96807
17.728181,147,5.069609
14.481784,147,5.167303
19.236325,151,5.267254
13.718504,133,5.360415
24.38915,161,5.482395
9.020924,124,5.570434
25.926893,160,5.679166
8.774347,124,5.76401
12.229183,136,5.861073
20.080728,163,5.98316
20.024855,152,6.953544
11.627107,133,7.050084
12.230233,139,7.148264
16.146996,142,7.24606
22.88161,161,7.354876
14.894628,130,7.440233
13.092025,138,7.565057
12.581723,137,7.661599
24.205032,155,7.768231
13.152069,135,7.860106
16.212952,148,7.967248
19.654617,151,8.076078
14.702376,145,8.173453
19.639939,155,8.276498
