#{"t_start": 1714974154.7306368, "env_id": "None"}
r,l,t
17.049882,151,0.663831
37.087252,200,0.802281
17.513664,146,0.903998
16.875325,139,1.004387
16.44189,151,1.113722
27.412623,141,1.213636
21.564925,156,1.316635
6.738907,116,1.392766
13.496786,141,1.487614
11.007599,129,1.571646
18.038142,149,1.675315
16.796809,156,1.78565
12.258071,133,1.873319
30.986479,179,2.861025
16.136955,150,2.962687
20.56718,149,3.061099
22.400258,155,3.172879
23.162548,149,3.273375
18.635339,149,3.375856
6.293412,111,3.457066
13.368586,141,3.555944
26.88812,163,3.668218
15.380716,139,3.759434
10.618209,130,3.848689
22.019403,132,3.936463
13.556193,137,4.027224
9.247522,127,4.119293
4.427042,109,4.195328
22.535757,164,5.201689
25.818649,136,5.297821
8.549138,122,5.388292
24.052953,148,5.491634
3.739379,104,5.55993
16.736597,143,5.659655
9.820592,128,5.744181
12.133082,136,5.834975
15.331903,150,5.940642
19.907465,149,6.053737
24.798204,157,6.164379
31.871342,182,6.288447
14.004757,133,6.383219
16.927212,155,6.499608
20.35244,153,7.471021
13.855023,141,7.56913
14.592429,135,7.665697
20.787339,147,7.769758
12.875001,135,7.861013
3.732863,105,7.930729
11.686899,129,8.016537
25.501294,166,8.163721
5.549185,111,8.2386
13.48182,133,8.331065
11.711274,136,8.430394
13.60533,141,8.526398
13.888896,131,8.621658
24.172986,130,8.708661
29.924041,169,8.821242
